port_id,month,avg_wait_hist,med_wait_hist,avg_wind_speed,avg_wave_height,avg_precip,avg_vessels_at_anchorage,avg_vessels_in_port,avg_queue_length,avg_arrivals_24h,avg_arrivals_7d,avg_departures_24h,avg_departures_7d,cyclone_flag_rate,storm_flag_rate
DHA,1,25.69047619047619,26.4,15.766666666666667,1.370952380952381,9.319047619047618,2.238095238095238,1.7619047619047619,4.0,0.047619047619047616,0.9047619047619048,0.0,0.7619047619047619,0.0,0.0
DHA,2,25.068,24.7,15.716000000000001,1.4964000000000002,10.815999999999999,2.24,1.48,3.72,0.12,0.88,0.16,0.6,0.0,0.0
DHA,3,24.262962962962963,23.2,17.822222222222223,1.3774074074074074,8.396296296296297,2.4074074074074074,1.2962962962962963,3.7037037037037037,0.25925925925925924,1.0,0.1111111111111111,0.7777777777777778,0.0,0.0
DHA,4,21.77857142857143,22.9,17.478571428571428,1.9235714285714285,4.6000000000000005,2.2142857142857144,1.2142857142857142,3.4285714285714284,0.14285714285714285,0.6428571428571429,0.07142857142857142,0.7142857142857143,0.0,0.07142857142857142
DHA,5,27.79615384615385,26.75,16.861538461538462,1.4465384615384616,11.484615384615385,2.3461538461538463,1.3461538461538463,3.6923076923076925,0.3076923076923077,0.9230769230769231,0.19230769230769232,0.6153846153846154,0.0,0.0
DHA,6,38.44736842105263,39.4,26.321052631578947,2.568947368421053,48.91052631578947,2.3684210526315788,1.1578947368421053,3.526315789473684,0.10526315789473684,0.7894736842105263,0.0,0.5263157894736842,0.0,0.0
DHA,7,40.166666666666664,38.3,28.104761904761908,2.328095238095238,51.938095238095244,2.142857142857143,0.9523809523809523,3.0952380952380953,0.047619047619047616,0.6666666666666666,0.047619047619047616,0.6666666666666666,0.0,0.0
DHA,8,38.12,36.7,29.872,2.5632,70.98,2.44,1.4,3.84,0.12,0.8,0.08,0.72,0.0,0.16
DHA,9,36.20666666666667,38.3,26.066666666666666,2.3466666666666667,64.54666666666667,2.1333333333333333,1.0666666666666667,3.2,0.06666666666666667,0.9333333333333333,0.06666666666666667,0.8666666666666667,0.0,0.0
DHA,10,48.3,47.849999999999994,20.36923076923077,2.1796153846153845,6.976923076923077,2.769230769230769,1.1923076923076923,3.9615384615384617,0.2692307692307692,0.7692307692307693,0.2692307692307692,0.5769230769230769,0.11538461538461539,0.0
DHA,11,46.5,45.95,17.28,1.3605,5.1850000000000005,2.5,1.5,4.0,0.15,1.1,0.15,0.8,0.0,0.0
DHA,12,42.457142857142856,43.7,17.952380952380953,1.63,5.880952380952381,2.238095238095238,1.0,3.238095238095238,0.14285714285714285,0.8095238095238095,0.14285714285714285,0.5714285714285714,0.0,0.09523809523809523
GAN,1,30.622222222222224,33.1,15.02222222222222,1.248888888888889,7.022222222222222,1.6666666666666667,0.8888888888888888,2.5555555555555554,0.0,0.1111111111111111,0.0,0.0,0.0,0.0
GAN,2,35.714285714285715,38.0,15.585714285714285,1.1885714285714286,7.471428571428571,1.8571428571428572,1.2857142857142858,3.142857142857143,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0
GAN,3,39.75,41.599999999999994,14.833333333333334,1.6900000000000002,9.225,2.1666666666666665,1.0833333333333333,3.25,0.16666666666666666,0.25,0.0,0.16666666666666666,0.0,0.08333333333333333
GAN,4,34.766666666666666,35.5,16.044444444444444,1.6166666666666665,7.933333333333334,2.2222222222222223,1.0,3.2222222222222223,0.1111111111111111,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0
GAN,5,41.05714285714286,36.0,18.62857142857143,1.7100000000000002,23.885714285714283,1.1428571428571428,0.2857142857142857,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0
GAN,6,57.25454545454545,61.4,25.05454545454546,2.205454545454545,62.91818181818182,2.3636363636363638,1.5454545454545454,3.909090909090909,0.0,0.2727272727272727,0.09090909090909091,0.36363636363636365,0.0,0.0
GAN,7,64.86666666666666,60.5,27.61111111111111,2.522222222222222,65.96666666666667,1.6666666666666667,0.6666666666666666,2.3333333333333335,0.0,0.1111111111111111,0.0,0.3333333333333333,0.0,0.1111111111111111
GAN,8,69.42,69.94999999999999,26.46,2.269,70.94,2.7,1.9,4.6,0.0,0.1,0.0,0.2,0.0,0.0
GAN,9,60.4,59.1,32.3,2.70125,47.2125,2.625,1.125,3.75,0.0,0.25,0.0,0.0,0.0,0.25
GAN,10,78.19999999999999,75.3,16.836363636363636,1.7309090909090907,8.0,2.727272727272727,1.5454545454545454,4.2727272727272725,0.09090909090909091,0.09090909090909091,0.0,0.18181818181818182,0.09090909090909091,0.0
GAN,11,66.9375,65.0,18.2875,1.6975,10.7,2.5,1.125,3.625,0.0,0.25,0.125,0.125,0.125,0.0
GAN,12,73.075,68.3,22.6875,1.73625,5.3625,2.75,1.0,3.75,0.125,0.375,0.25,0.375,0.125,0.0
GOP,1,39.08181818181818,42.2,16.79090909090909,1.3445454545454545,11.054545454545455,1.4545454545454546,0.6363636363636364,2.090909090909091,0.0,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0
GOP,2,37.6,38.8,14.0,1.8216666666666665,9.366666666666667,1.6666666666666667,1.1666666666666667,2.8333333333333335,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0
GOP,3,32.2,31.950000000000003,15.95,1.607,6.99,1.5,0.4,1.9,0.0,0.2,0.2,0.2,0.0,0.0
GOP,4,38.28,36.7,16.43,1.253,11.709999999999999,1.9,0.9,2.8,0.0,0.2,0.0,0.3,0.0,0.0
GOP,5,37.57142857142857,35.9,20.057142857142857,1.51,8.857142857142858,3.0,1.8571428571428572,4.857142857142857,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0,0.0
GOP,6,50.39090909090908,41.2,26.10909090909091,2.6836363636363636,53.43636363636363,1.7272727272727273,0.5454545454545454,2.272727272727273,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091
GOP,7,58.57777777777778,58.1,25.01111111111111,2.2266666666666666,60.233333333333334,2.111111111111111,1.4444444444444444,3.5555555555555554,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0
GOP,8,63.23333333333333,63.5,26.808333333333334,2.21,80.78333333333333,2.4166666666666665,1.25,3.6666666666666665,0.08333333333333333,0.5,0.0,0.25,0.0,0.0
