timestamp,imo,latitude,longitude,speed,heading,destination,draft
2019-12-23 10:19,9264511,20.0671,86.2562,10.6,55,Dhamra,13.9
2019-12-24 02:19,9264511,20.9832,86.8522,11.2,174,Dhamra,13.9
2019-12-24 10:47,9264511,20.7345,86.8668,0.2,0,Dhamra,14.0
2019-12-25 11:23,9264511,20.7942,86.9318,0.0,193,Dhamra,13.4
2019-12-26 08:02,9264511,20.7759,86.9146,0.0,22,Dhamra,13.5
2019-12-26 04:45,9367188,20.2108,87.3808,9.1,220,Dhamra,13.4
2019-12-26 20:45,9367188,20.6581,87.0969,12.1,175,Dhamra,13.3
2019-12-27 06:11,9367188,20.8797,86.9583,0.5,161,Dhamra,12.6
2019-12-28 07:59,9367188,20.799,86.9225,0.0,222,Dhamra,13.8
2019-12-29 02:42,9367188,20.7888,86.9234,0.0,248,Dhamra,13.7
2020-01-07 07:46,9952378,20.6545,86.9328,12.4,330,Dhamra,12.9
2020-01-07 23:46,9952378,20.9541,87.1373,11.6,87,Dhamra,13.1
2020-01-08 09:25,9952378,20.8985,86.9836,0.3,172,Dhamra,12.6
2020-01-09 06:55,9952378,20.7867,86.93,0.0,186,Dhamra,13.3
2020-01-10 02:18,9952378,20.7774,86.9059,0.0,272,Dhamra,13.7
2020-01-25 09:29,9367188,21.3018,86.2123,10.2,253,Dhamra,13.9
2020-01-26 01:29,9367188,20.8526,86.7745,10.9,90,Dhamra,12.8
2020-01-26 11:05,9367188,20.7469,86.9051,0.0,233,Dhamra,12.9
2020-01-27 15:15,9367188,20.7736,86.9108,0.0,139,Dhamra,14.0
2020-01-28 11:54,9367188,20.7887,86.8967,0.0,316,Dhamra,13.3
2020-02-02 01:06,9367188,20.5514,86.2588,10.7,4,Dhamra,13.7
2020-02-02 17:06,9367188,20.7179,86.9415,11.5,14,Dhamra,14.0
2020-02-03 01:53,9367188,20.7751,86.9919,0.3,178,Dhamra,12.6
2020-02-04 05:55,9367188,20.7887,86.9033,0.0,214,Dhamra,13.3
2020-02-04 23:58,9367188,20.7981,86.9025,0.0,342,Dhamra,13.5
2020-02-07 16:00,9462030,20.1087,87.523,9.2,265,Dhamra,13.3
2020-02-08 08:00,9462030,20.6799,87.1374,12.1,149,Dhamra,13.9
2020-02-08 17:10,9462030,20.6712,87.0592,0.4,322,Dhamra,13.0
2020-02-09 05:46,9462030,20.763,86.9891,0.4,10,Dhamra,13.3
2020-02-10 01:37,9462030,20.7981,86.9263,0.0,342,Dhamra,13.8
2020-02-10 19:04,9462030,20.7805,86.9277,0.0,81,Dhamra,13.9
2020-02-05 11:18,9174447,21.3775,86.9403,9.5,256,Dhamra,12.8
2020-02-06 03:18,9174447,20.904,86.77,11.3,47,Dhamra,13.1
2020-02-06 12:49,9174447,20.6943,86.8633,0.3,256,Dhamra,12.8
2020-02-07 06:01,9174447,20.7712,86.9047,0.0,8,Dhamra,13.5
2020-02-07 23:28,9174447,20.7859,86.9001,0.0,162,Dhamra,13.5
2020-03-08 22:23,9260565,20.8706,86.3302,12.6,273,Dhamra,13.0
2020-03-09 14:23,9260565,20.9976,86.9126,10.6,14,Dhamra,13.1
2020-03-10 00:52,9260565,20.8067,86.9125,0.3,114,Dhamra,14.0
2020-03-10 21:00,9260565,20.8003,86.9211,0.0,3,Dhamra,14.1
2020-03-11 15:39,9260565,20.7949,86.9211,0.0,253,Dhamra,13.7
2020-03-09 06:48,9096672,20.9187,87.2227,10.4,235,Dhamra,17.0
2020-03-09 22:48,9096672,20.8734,86.8744,10.4,229,Dhamra,17.0
2020-03-10 09:03,9096672,20.8794,86.8209,0.8,31,Dhamra,17.9
2020-03-10 19:55,9096672,20.7129,87.044,0.7,192,Dhamra,17.1
2020-03-11 23:22,9096672,20.8002,86.9016,0.0,135,Dhamra,17.7
