date,route_id,origin,destination_port,vessel_class,cargo_type,distance_nm,synthetic_bunker_price_usd_mt,freight_usd_mt,tce_usd_day,source,destination_port_id
2020-01-01,AUS_DHA_PAN,Australia,Dhamra,Panamax,Coal,3500.0,602.27,16.91,12533.0,Synthetic - ML development,INDHM
2020-01-02,AUS_DHA_PAN,Australia,Dhamra,Panamax,Coal,3500.0,602.5787096774193,16.93935483870968,12487.16129032258,Synthetic - ML development,INDHM
2020-01-03,AUS_DHA_PAN,Australia,Dhamra,Panamax,Coal,3500.0,602.8874193548387,16.968709677419355,12441.32258064516,Synthetic - ML development,INDHM
2020-01-04,AUS_DHA_PAN,Australia,Dhamra,Panamax,Coal,3500.0,603.196129032258,16.998064516129034,12395.483870967742,Synthetic - ML development,INDHM
2020-01-05,AUS_DHA_PAN,Australia,Dhamra,Panamax,Coal,3500.0,603.5048387096774,17.02741935483871,12349.645161290322,Synthetic - ML development,INDHM
2020-01-06,AUS_DHA_PAN,Australia,Dhamra,Panamax,Coal,3500.0,603.8135483870967,17.05677419354839,12303.806451612903,Synthetic - ML development,INDHM
2020-01-07,AUS_DHA_PAN,Australia,Dhamra,Panamax,Coal,3500.0,604.1222580645161,17.086129032258064,12257.967741935485,Synthetic - ML development,INDHM
2020-01-08,AUS_DHA_PAN,Australia,Dhamra,Panamax,Coal,3500.0,604.4309677419354,17.115483870967743,12212.129032258064,Synthetic - ML development,INDHM
2020-01-09,AUS_DHA_PAN,Australia,Dhamra,Panamax,Coal,3500.0,604.7396774193548,17.14483870967742,12166.290322580646,Synthetic - ML development,INDHM
2020-01-10,AUS_DHA_PAN,Australia,Dhamra,Panamax,Coal,3500.0,605.0483870967741,17.174193548387098,12120.451612903224,Synthetic - ML development,INDHM
2020-01-11,AUS_DHA_PAN,Australia,Dhamra,Panamax,Coal,3500.0,605.3570967741936,17.203548387096774,12074.612903225809,Synthetic - ML development,INDHM
2020-01-12,AUS_DHA_PAN,Australia,Dhamra,Panamax,Coal,3500.0,605.6658064516129,17.232903225806453,12028.774193548386,Synthetic - ML development,INDHM
2020-01-13,AUS_DHA_PAN,Australia,Dhamra,Panamax,Coal,3500.0,605.9745161290323,17.26225806451613,11982.935483870968,Synthetic - ML development,INDHM
2020-01-14,AUS_DHA_PAN,Australia,Dhamra,Panamax,Coal,3500.0,606.2832258064516,17.291612903225808,11937.09677419355,Synthetic - ML development,INDHM
2020-01-15,AUS_DHA_PAN,Australia,Dhamra,Panamax,Coal,3500.0,606.591935483871,17.320967741935483,11891.258064516129,Synthetic - ML development,INDHM
2020-01-16,AUS_DHA_PAN,Australia,Dhamra,Panamax,Coal,3500.0,606.9006451612903,17.350322580645162,11845.41935483871,Synthetic - ML development,INDHM
2020-01-17,AUS_DHA_PAN,Australia,Dhamra,Panamax,Coal,3500.0,607.2093548387097,17.379677419354838,11799.58064516129,Synthetic - ML development,INDHM
2020-01-18,AUS_DHA_PAN,Australia,Dhamra,Panamax,Coal,3500.0,607.518064516129,17.409032258064517,11753.741935483871,Synthetic - ML development,INDHM
2020-01-19,AUS_DHA_PAN,Australia,Dhamra,Panamax,Coal,3500.0,607.8267741935484,17.438387096774193,11707.90322580645,Synthetic - ML development,INDHM
2020-01-20,AUS_DHA_PAN,Australia,Dhamra,Panamax,Coal,3500.0,608.1354838709677,17.467741935483872,11662.064516129032,Synthetic - ML development,INDHM
