route_id,avg_freight_usd_mt,std_freight_usd_mt
AUS_DHA_CAP,16.2825,1.1311551493190417
AUS_DHA_PAN,16.459722222222222,1.2857496002055748
AUS_GAN_CAP,16.49111111111111,1.2806606520816899
AUS_GAN_PAN,16.45763888888889,1.2264244297332934
AUS_GOP_CAP,16.527916666666666,1.2035357973458696
AUS_GOP_PAN,16.355,1.2857737299023653
AUS_HAL_CAP,16.533055555555556,1.3793074797269358
AUS_HAL_PAN,16.86513888888889,1.4511297134394696
AUS_PAR_CAP,16.37986111111111,1.2393904601991068
AUS_PAR_PAN,16.635694444444443,1.271636216016277
AUS_VIZ_CAP,16.187361111111112,1.4511287428500308
AUS_VIZ_PAN,16.580416666666665,1.3055207125840314
IND_DHA_CAP,10.477083333333333,1.0573384570117823
IND_DHA_PAN,10.540972222222223,1.2023968547865662
IND_GAN_CAP,10.449444444444445,1.1072970375037026
IND_GAN_PAN,10.411944444444444,1.0912851177110934
IND_GOP_CAP,10.205555555555556,1.0129372836124066
IND_GOP_PAN,10.701666666666666,1.0582126839662442
IND_HAL_CAP,10.379722222222222,1.0899941493863168
IND_HAL_PAN,10.423055555555557,1.161033583831925
IND_PAR_CAP,10.6125,1.1466371529666133
IND_PAR_PAN,10.610694444444444,1.1805075613920957
IND_VIZ_CAP,10.402222222222223,0.9805520466140162
IND_VIZ_PAN,10.542361111111111,0.9422530581052032
MOZ_DHA_CAP,20.886805555555554,1.6421634874169249
MOZ_DHA_PAN,20.808194444444446,1.3915927913258639
MOZ_GAN_CAP,21.404583333333335,1.4098296146178524
MOZ_GAN_PAN,20.865277777777777,1.7676458221993048
MOZ_GOP_CAP,21.355416666666667,1.7509377266297081
MOZ_GOP_PAN,20.977083333333333,1.4684411946869114
MOZ_HAL_CAP,20.63,1.558031441220294
MOZ_HAL_PAN,20.795972222222222,1.7380689136260683
MOZ_PAR_CAP,20.825277777777778,1.6949061814762079
MOZ_PAR_PAN,21.48166666666667,1.6236404930600323
MOZ_VIZ_CAP,20.605555555555554,1.6235172120169161
MOZ_VIZ_PAN,21.18138888888889,1.358353711071547
RUS_DHA_CAP,22.301111111111112,1.8936197958255536
RUS_DHA_PAN,22.317083333333333,1.8987612251520323
RUS_GAN_CAP,22.595833333333335,1.9369656464410918
RUS_GAN_PAN,22.560416666666665,1.7863578789903736
RUS_GOP_CAP,22.158055555555556,1.943524922307577
RUS_GOP_PAN,22.735694444444444,1.9135976194024669
RUS_HAL_CAP,22.17263888888889,1.8143698654373637
RUS_HAL_PAN,22.63222222222222,1.9748576145659404
RUS_PAR_CAP,22.666944444444443,1.581834947043152
RUS_PAR_PAN,22.709027777777777,1.7953595581051447
RUS_VIZ_CAP,22.47152777777778,2.058913743223457
RUS_VIZ_PAN,22.34263888888889,1.939597746198398
USA_DHA_CAP,32.58291666666666,2.3500880639777533
USA_DHA_PAN,32.680416666666666,2.290239201173438
USA_GAN_CAP,32.23111111111111,2.4480970221243172
USA_GAN_PAN,32.65013888888889,2.555567516727128
USA_GOP_CAP,31.997916666666665,2.167789123300187
USA_GOP_PAN,32.407222222222224,2.369231302343919
USA_HAL_CAP,32.302638888888886,2.3504755245919475
USA_HAL_PAN,33.02236111111111,2.6270459461100795
USA_PAR_CAP,32.34319444444444,2.5674604246378125
USA_PAR_PAN,31.933194444444446,2.250690552177007
USA_VIZ_CAP,32.27486111111111,2.3520449556494305
USA_VIZ_PAN,32.79638888888889,2.0610494424884243
