date,market_risk
2020-01-01,0.0
2020-01-31,20.17534373921577
2020-03-01,36.79232884228016
2020-03-31,49.84763695496188
2020-04-30,56.42532052546187
2020-05-30,24.169068279801497
2020-06-29,19.12404073115963
2020-07-29,29.991739782871065
2020-08-28,25.882922336803627
2020-09-27,24.588275727247364
2020-10-27,26.306747859121327
2020-11-26,28.892153218043102
2020-12-26,29.66679440642564
2021-01-25,16.72458143371826
2021-02-24,16.071682203686336
2021-03-26,16.68243330178672
2021-04-25,14.47221014888702
2021-05-25,31.600950877409144
2021-06-24,29.82244583317645
2021-07-24,33.332856521152486
2021-08-23,31.690851938100824
2021-09-22,37.2685025032819
2021-10-22,38.18194907704051
2021-11-21,36.17518501660203
2021-12-21,31.848520127892616
2022-01-20,50.29253547130267
2022-02-19,42.72211314875825
2022-03-21,63.23794799879203
2022-04-20,61.028106682560065
2022-05-20,56.17104991776122
2022-06-19,64.19840078377307
2022-07-19,46.19576606086426
2022-08-18,34.58273813338685
2022-09-17,23.024328827615935
2022-10-17,38.28908078745432
2022-11-16,49.97304503658821
2022-12-16,49.727207403283415
2023-01-15,46.352099370153496
2023-02-14,59.747494900749246
2023-03-16,46.05671606251747
2023-04-15,27.29625383125034
2023-05-15,21.007988625978193
2023-06-14,23.779669095836578
2023-07-14,20.266686094954
2023-08-13,10.510131115703041
2023-09-12,11.655962003181711
2023-10-12,16.192052418154933
2023-11-11,13.840388800054498
2023-12-11,16.133164661305177
2024-01-10,10.27191871223975
2024-02-09,18.952732789678937
2024-03-10,14.593393276307623
2024-04-09,17.008084299145892
2024-05-09,22.14913644622194
2024-06-08,24.257389654149847
2024-07-08,22.765664298809273
2024-08-07,22.928829280087626
2024-09-06,14.6862507476922
2024-10-06,17.29415440145267
2024-11-05,15.934811097332613
2024-12-05,14.838652230527863
2025-01-04,20.42876672299876
2025-02-03,27.991654795990822
2025-03-05,35.93452214285389
2025-04-04,33.89037240965472
2025-05-04,9.822854687717792
2025-06-03,19.468784892886166
2025-07-03,19.997108495845925
2025-08-02,24.756991767795355
2025-09-01,19.777933668759577
2025-10-01,26.40012705412687
2025-10-31,10.052024638576304
