date,avg_vlsfo_price
2020-01-01,639.8426666666667
2020-01-31,557.142
2020-03-01,490.332
2020-03-31,344.3793333333333
2020-04-30,243.30133333333333
2020-05-30,251.79333333333335
2020-06-29,297.1573333333333
2020-07-29,304.92333333333335
2020-08-28,314.0613333333333
2020-09-27,317.47333333333336
2020-10-27,332.16533333333336
2020-11-26,369.29533333333336
2020-12-26,390.8833333333333
2021-01-25,381.14933333333335
2021-02-24,406.026
2021-03-26,409.35066666666665
2021-04-25,430.3193333333333
2021-05-25,443.348
2021-06-24,435.32
2021-07-24,458.84599999999995
2021-08-23,465.1886666666667
2021-09-22,485.2633333333333
2021-10-22,512.674
2021-11-21,515.536
2021-12-21,538.48
2022-01-20,584.1626666666667
2022-02-19,621.3646666666666
2022-03-21,763.73
2022-04-20,789.5866666666666
2022-05-20,839.5253333333333
2022-06-19,889.1993333333334
2022-07-19,848.5866666666666
2022-08-18,778.1006666666667
2022-09-17,743.3453333333333
2022-10-17,712.4593333333333
2022-11-16,667.1493333333333
2022-12-16,604.5713333333333
2023-01-15,589.804
2023-02-14,566.2093333333333
2023-03-16,548.302
2023-04-15,565.2886666666667
2023-05-15,572.8113333333333
2023-06-14,572.4240000000001
2023-07-14,610.1206666666666
2023-08-13,593.8386666666667
2023-09-12,577.2073333333334
2023-10-12,576.0186666666667
2023-11-11,561.9746666666666
2023-12-11,568.9666666666667
2024-01-10,546.1893333333334
2024-02-09,547.1093333333333
2024-03-10,547.9979999999999
2024-04-09,549.456
2024-05-09,554.4786666666666
2024-06-08,536.8313333333333
2024-07-08,558.3926666666666
2024-08-07,539.3193333333334
2024-09-06,545.1066666666667
2024-10-06,515.4806666666667
2024-11-05,525.52
2024-12-05,507.63266666666664
2025-01-04,506.492
2025-02-03,487.49533333333335
2025-03-05,484.31066666666663
2025-04-04,472.4413333333333
2025-05-04,484.84599999999995
2025-06-03,467.21933333333334
2025-07-03,462.08866666666665
2025-08-02,479.488
2025-09-01,468.486
2025-10-01,457.1313333333333
2025-10-31,459.43333333333334
